model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
convnext_base_w_320,laion_aesthetic_s13b_b82k_augreg,convnext_base_w_320_laion_aesthetic_s13b_b82k_augreg,ConvNeXt,,,,320,LAION-A-900m,False,,179.4,0.854,0.746,0.8,0.704,"obj=country, bg=urban, co=urban",0.912,"obj=urban, bg=urban, co=urban",0.096,1000,11.1,3.3,0.792,0.744,0.744,0.704,0.8,0.872,0.832,0.912,
ViTamin-B,datacomp1b,ViTamin-B_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,151.0,0.728,0.87,0.799,0.672,"obj=urban, bg=country, co=country",0.896,"obj=country, bg=country, co=country",0.127,1000,10.3,2.5,0.896,0.864,0.888,0.832,0.672,0.752,0.68,0.808,
ViT-L-14,laion400m_e32,ViT-L-14_laion400m_e32,CLIP,,,14.0,224,LAION-400m,False,768.0,427.6,0.908,0.686,0.797,0.568,"obj=country, bg=urban, co=urban",0.96,"obj=urban, bg=urban, co=urban",0.2290000000000001,1000,21.7,3.4,0.736,0.72,0.72,0.568,0.8,0.944,0.928,0.96,L
ViT-L-14,commonpool_xl_laion_s13b_b90k,ViT-L-14_commonpool_xl_laion_s13b_b90k,CLIP,,,14.0,224,CommonPool-12.8b,False,768.0,427.6,0.678,0.916,0.797,0.536,"obj=urban, bg=country, co=country",0.936,"obj=country, bg=country, co=urban",0.261,1000,20.4,3.5,0.92,0.936,0.912,0.896,0.536,0.64,0.752,0.784,L
ViT-L-14,laion400m_e31,ViT-L-14_laion400m_e31,CLIP,,,14.0,224,LAION-400m,False,768.0,427.6,0.924,0.66,0.792,0.52,"obj=country, bg=urban, co=urban",0.96,"obj=urban, bg=urban, co=urban",0.272,1000,21.3,3.4,0.728,0.688,0.704,0.52,0.84,0.944,0.952,0.96,L
convnext_base_w,laion_aesthetic_s13b_b82k,convnext_base_w_laion_aesthetic_s13b_b82k,ConvNeXt,,,,256,LAION-A-900m,False,,179.4,0.74,0.842,0.791,0.624,"obj=urban, bg=urban, co=country",0.888,"obj=country, bg=urban, co=country",0.167,1000,13.5,2.7,0.864,0.824,0.888,0.792,0.64,0.848,0.624,0.848,
ViT-B-16,commonpool_l_s1b_b8k,ViT-B-16_commonpool_l_s1b_b8k,CLIP,,,16.0,224,CommonPool-1b,False,512.0,149.6,0.84,0.742,0.791,0.648,"obj=country, bg=urban, co=country",0.936,"obj=urban, bg=urban, co=urban",0.143,1000,10.2,2.0,0.832,0.816,0.648,0.672,0.776,0.752,0.896,0.936,B
ViT-B-16,commonpool_l_image_s1b_b8k,ViT-B-16_commonpool_l_image_s1b_b8k,CLIP,,,16.0,224,CommonPool-1b,False,512.0,149.6,0.942,0.638,0.79,0.528,"obj=country, bg=urban, co=country",0.968,"obj=urban, bg=country, co=urban",0.262,1000,10.3,2.0,0.744,0.696,0.528,0.584,0.904,0.968,0.928,0.968,B
ViT-B-32,datacomp_xl_s13b_b90k,ViT-B-32_datacomp_xl_s13b_b90k,CLIP,,,32.0,224,DataComp-12.8b,False,512.0,151.3,0.846,0.734,0.79,0.72,"obj=country, bg=country, co=urban",0.896,"obj=urban, bg=country, co=country",0.07,1000,9.7,1.8,0.744,0.72,0.728,0.744,0.896,0.848,0.784,0.856,B
ViTamin-B-LTT,datacomp1b,ViTamin-B-LTT_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,211.4,0.746,0.832,0.789,0.664,"obj=urban, bg=country, co=country",0.88,"obj=country, bg=urban, co=country",0.125,1000,13.5,2.5,0.856,0.808,0.88,0.784,0.664,0.792,0.704,0.824,
roberta-ViT-B-32,laion2b_s12b_b32k,roberta-ViT-B-32_laion2b_s12b_b32k,RoBERTa-CLIP,,,32.0,224,LAION-2b,False,512.0,212.7,0.848,0.73,0.789,0.664,"obj=country, bg=urban, co=country",0.88,"obj=urban, bg=country, co=urban",0.125,1000,14.8,1.8,0.816,0.76,0.664,0.68,0.8,0.88,0.832,0.88,B
EVA02-B-16,merged2b_s8b_b131k,EVA02-B-16_merged2b_s8b_b131k,EVA,,,16.0,224,Merged-2b,False,,149.7,0.866,0.71,0.788,0.656,"obj=country, bg=country, co=urban",0.96,"obj=urban, bg=urban, co=urban",0.132,1000,6.8,2.2,0.752,0.656,0.744,0.688,0.752,0.92,0.832,0.96,
ViT-L-14,dfn2b,ViT-L-14_dfn2b,CLIP,,,14.0,224,DFN-2b,False,768.0,427.6,0.628,0.946,0.787,0.504,"obj=urban, bg=country, co=country",0.96,"obj=country, bg=country, co=country",0.283,1000,20.7,3.4,0.96,0.952,0.944,0.928,0.504,0.696,0.568,0.744,L
ViT-H-14,laion2b_s32b_b79k,ViT-H-14_laion2b_s32b_b79k,CLIP,,,14.0,224,LAION-2b,False,1024.0,986.1,0.63,0.942,0.786,0.488,"obj=urban, bg=country, co=country",0.96,"obj=country, bg=country, co=urban",0.298,1000,14.9,5.3,0.952,0.96,0.952,0.904,0.488,0.64,0.592,0.8,H
coca_ViT-B-32,laion2b_s13b_b90k,coca_ViT-B-32_laion2b_s13b_b90k,CoCa,,,32.0,224,LAION-2b,False,512.0,253.6,0.902,0.666,0.784,0.64,"obj=country, bg=country, co=urban",0.968,"obj=urban, bg=country, co=urban",0.144,1000,14.1,1.9,0.744,0.64,0.64,0.64,0.864,0.968,0.848,0.928,B
convnext_xxlarge,laion2b_s34b_b82k_augreg_soup,convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,ConvNeXt,,,,256,LAION-2b,False,,1200.6,0.654,0.912,0.783,0.496,"obj=urban, bg=country, co=country",0.928,"obj=country, bg=country, co=country",0.287,1000,57.5,4.8,0.928,0.912,0.928,0.88,0.496,0.768,0.584,0.768,
ViT-H-14,metaclip_altogether,ViT-H-14_metaclip_altogether,CLIP,,,14.0,224,MetaCLIP2-2.5b,False,1024.0,986.1,0.64,0.922,0.781,0.336,"obj=urban, bg=country, co=country",0.976,"obj=country, bg=country, co=country",0.445,1000,44.8,5.3,0.976,0.928,0.96,0.824,0.336,0.736,0.584,0.904,H
MobileCLIP-B,datacompdr_lt,MobileCLIP-B_datacompdr_lt,MobileCLIP,,,16.0,224,DataComp-1b,False,,149.8,0.734,0.822,0.778,0.528,"obj=urban, bg=country, co=country",0.888,"obj=country, bg=country, co=country",0.25,1000,10.1,1.8,0.888,0.824,0.848,0.728,0.528,0.792,0.728,0.888,
ViT-B-16,metaclip_fullcc,ViT-B-16_metaclip_fullcc,CLIP,,,16.0,224,CommonCrawl-2.5b,False,512.0,149.6,0.81,0.746,0.778,0.728,"obj=country, bg=country, co=urban",0.856,"obj=urban, bg=urban, co=urban",0.05,1000,9.2,2.0,0.752,0.728,0.768,0.736,0.8,0.832,0.752,0.856,B
ViT-B-32-quickgelu,laion400m_e31,ViT-B-32-quickgelu_laion400m_e31,CLIP,,,32.0,224,LAION-400m,True,512.0,151.3,0.652,0.902,0.777,0.568,"obj=urban, bg=urban, co=country",0.936,"obj=country, bg=country, co=country",0.209,1000,10.2,1.9,0.936,0.904,0.872,0.896,0.656,0.704,0.568,0.68,B
