model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
EVA01-g-14,laion400m_s11b_b41k,EVA01-g-14_laion400m_s11b_b41k,EVA,,,14.0,224,LAION-400M,False,,1136.4,0.782,0.878,0.83,0.712,"obj=urban, bg=country, co=country",0.912,"obj=country, bg=country, co=country",0.118,1000,34.6,6.1,0.912,0.904,0.864,0.832,0.712,0.768,0.752,0.896,
ViT-L-14,datacomp_xl_s13b_b90k,ViT-L-14_datacomp_xl_s13b_b90k,ViT,,,14.0,224,DataComp,False,768.0,427.6,0.796,0.862,0.829,0.648,"obj=urban, bg=country, co=country",0.88,"obj=country, bg=urban, co=country",0.18099999999999994,1000,32.9,3.4,0.864,0.856,0.88,0.848,0.648,0.848,0.816,0.872,L
ViTamin-L-256,datacomp1b,ViTamin-L-256_datacomp1b,ViT,,,,256,DataComp,False,,457.0,0.982,0.676,0.829,0.608,"obj=country, bg=urban, co=urban",1.0,"obj=urban, bg=urban, co=urban",0.22099999999999997,1000,24.7,3.3,0.744,0.696,0.656,0.608,0.96,0.976,0.992,1.0,
ViT-SO400M-16-SigLIP2-256,webli,ViT-SO400M-16-SigLIP2-256_webli,ViT,,,,256,WebLI,False,,1135.7,0.694,0.96,0.827,0.448,"obj=urban, bg=country, co=country",0.976,"obj=country, bg=country, co=country",0.37899999999999995,1000,59.0,3.1,0.976,0.952,0.96,0.952,0.448,0.88,0.52,0.928,
convnext_xxlarge,laion2b_s34b_b82k_augreg,convnext_xxlarge_laion2b_s34b_b82k_augreg,ConvNeXt,,,,256,LAION-2B,False,,1200.6,0.756,0.898,0.827,0.632,"obj=urban, bg=country, co=country",0.928,"obj=country, bg=country, co=country",0.19499999999999995,1000,158.3,6.4,0.928,0.904,0.896,0.864,0.632,0.848,0.68,0.864,
MobileCLIP-S2,datacompdr,MobileCLIP-S2_datacompdr,MobileCLIP,,,,256,DataComp,False,,99.2,0.864,0.79,0.827,0.72,"obj=urban, bg=country, co=country",0.952,"obj=urban, bg=urban, co=urban",0.10699999999999998,1000,7.7,2.7,0.856,0.752,0.824,0.728,0.72,0.936,0.848,0.952,
ViT-B-32,laion2b_s34b_b79k,ViT-B-32_laion2b_s34b_b79k,ViT,,,32.0,224,LAION-2B,False,512.0,151.3,0.926,0.728,0.827,0.704,"obj=country, bg=country, co=country",0.96,"obj=urban, bg=country, co=country",0.123,1000,8.3,1.7,0.704,0.76,0.712,0.736,0.96,0.896,0.904,0.944,B
MobileCLIP-B,datacompdr,MobileCLIP-B_datacompdr,MobileCLIP,,,,224,DataComp,False,,149.8,0.8,0.852,0.826,0.672,"obj=urban, bg=country, co=country",0.928,"obj=urban, bg=urban, co=urban",0.15399999999999991,1000,10.3,1.7,0.896,0.824,0.872,0.816,0.672,0.856,0.744,0.928,
ViT-B-16,datacomp_xl_s13b_b90k,ViT-B-16_datacomp_xl_s13b_b90k,ViT,,,16.0,224,DataComp,False,512.0,149.6,0.886,0.764,0.825,0.736,"obj=country, bg=country, co=urban",0.952,"obj=urban, bg=urban, co=urban",0.08899999999999997,1000,9.6,2.0,0.776,0.736,0.808,0.736,0.864,0.928,0.8,0.952,B
ViT-H-14-worldwide-quickgelu,metaclip2_worldwide,ViT-H-14-worldwide-quickgelu_metaclip2_worldwide,ViT,,,14.0,224,MetaCLIP,True,1024.0,1858.8,0.796,0.854,0.825,0.608,"obj=urban, bg=country, co=country",0.968,"obj=urban, bg=urban, co=urban",0.21699999999999997,1000,186.3,7.1,0.92,0.808,0.928,0.76,0.608,0.904,0.704,0.968,H
