model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,imagenet_acc,wg_acc,robustness_gap,robustness_ratio,relative_drop_pct
convnext_large_d_laion2b_s26b_b102k_augreg,convnext_large_d,CLIP,ConvNeXt,351.8,256,LAION-2b,0.7589400000000001,0.8406104844061049,0.8720068129445947,0.7589400000000001,0.8406104844061049,-0.0816704844061048,1.1076112530715272,-10.761125307152712
coca_ViT-L-14_laion2b_s13b_b90k,coca_ViT-L-14,CoCa,CoCa,638.5,224,LAION-2b,0.75646,0.7888888888888889,0.9011622081955716,0.75646,0.7888888888888889,-0.03242888888888884,1.0428692711959506,-4.286927119595067
ViT-L-14-quickgelu_openai,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,OpenAI-400m,0.75534,0.8,0.8902915539525098,0.75534,0.8,-0.04466000000000003,1.0591256917414675,-5.912569174146746
ViT-L-14_commonpool_xl_laion_s13b_b90k,ViT-L-14,CLIP,CLIP,427.6,224,CommonPool-12.8b,0.7546599999999999,0.8111111111111111,0.8930467888989079,0.7546599999999999,0.8111111111111111,-0.05645111111111123,1.0748033698766482,-7.480336987664808
ViT-B-16-quickgelu_dfn2b,ViT-B-16-quickgelu,CLIP,CLIP,149.6,224,DFN-2b,0.7545000000000001,0.6666666666666666,0.9281635106702736,0.7545000000000001,0.6666666666666666,0.08783333333333343,0.8835873647006847,11.641263529931534
ViT-L-14_laion2b_s32b_b82k,ViT-L-14,CLIP,CLIP,427.6,224,LAION-2b,0.7524599999999999,0.8333333333333334,0.8804728985071636,0.7524599999999999,0.8333333333333334,-0.08087333333333346,1.1074785813642365,-10.74785813642366
ViT-B-16-SigLIP-i18n-256_webli,ViT-B-16-SigLIP-i18n-256,SigLIP,SigLIP,370.6,256,WebLI-10b,0.75116,0.8585268745852688,0.8740106201783389,0.75116,0.8585268745852688,-0.10736687458526872,1.1429347603510154,-14.293476035101538
EVA02-B-16_merged2b_s8b_b131k,EVA02-B-16,EVA,EVA,149.7,224,Merged-2b,0.7473000000000001,0.7722222222222223,0.9048191563971546,0.7473000000000001,0.7722222222222223,-0.02492222222222218,1.0333496885082594,-3.3349688508259305
MobileCLIP-S2_datacompdr,MobileCLIP-S2,CLIP,MobileCLIP,99.2,256,DataComp-1b,0.74432,0.8444444444444444,0.91017934074742,0.74432,0.8444444444444444,-0.10012444444444446,1.1345180089806057,-13.451800898060572
PE-Core-bigG-14-448_meta,PE-Core-bigG-14-448,CLIP,PE,2419.3,448,MetaCLIP-5.4b,0.7424200000000001,0.8555555555555555,0.8827271816451258,0.7424200000000001,0.8555555555555555,-0.11313555555555543,1.1523875374525947,-15.238753745259478
ViT-L-14-336_openai,ViT-L-14-336,CLIP,CLIP,427.9,336,OpenAI-400m,0.73996,0.8222222222222222,0.8873359382827372,0.73996,0.8222222222222222,-0.08226222222222224,1.1111711744178365,-11.117117441783643
RN50x64-quickgelu_openai,RN50x64-quickgelu,CLIP,ResNet,623.3,448,OpenAI-400m,0.73914,0.0,0.1332531810439835,0.73914,0.0,0.73914,0.0,100.0
ViT-B-32-SigLIP2-256_webli,ViT-B-32-SigLIP2-256,SigLIP2,SigLIP2,376.9,256,WebLI-10b,0.7384999999999999,0.8666666666666667,0.9082757238753632,0.7384999999999999,0.8666666666666667,-0.12816666666666676,1.1735499887158656,-17.354998871586563
ViT-B-16_datacomp_xl_s13b_b90k,ViT-B-16,CLIP,CLIP,149.6,224,DataComp-1b,0.73482,0.8666666666666667,0.9007113515679792,0.73482,0.8666666666666667,-0.13184666666666667,1.1794271613002731,-17.942716130027307
RN50x64_openai,RN50x64,CLIP,ResNet,623.3,448,OpenAI-400m,0.73226,0.7555555555555555,0.9069732491734296,0.73226,0.7555555555555555,-0.023295555555555514,1.031813229666451,-3.1813229666451144
ViT-L-14_metaclip_400m,ViT-L-14,CLIP,CLIP,427.6,224,MetaCLIP-400m,0.7319,0.85,0.8927462178138463,0.7319,0.85,-0.11809999999999998,1.1613608416450334,-16.136084164503345
ViT-L-14_openai,ViT-L-14,CLIP,CLIP,427.6,224,OpenAI-400m,0.7287,0.8111111111111111,0.8883378418996093,0.7287,0.8111111111111111,-0.0824111111111111,1.113093332113505,-11.309333211350502
ViT-B-32-256_datacomp_s34b_b86k,ViT-B-32-256,CLIP,CLIP,151.3,256,DataComp-1b,0.7281,0.7222222222222222,0.9182947600440836,0.7281,0.7222222222222222,0.0058777777777777596,0.9919272383219644,0.8072761678035655
ViT-L-14_laion400m_e32,ViT-L-14,CLIP,CLIP,427.6,224,LAION-400m,0.7275400000000001,0.7277777777777777,0.9050696323013726,0.7275400000000001,0.7277777777777777,-0.00023777777777767017,1.0003268243365007,-0.03268243365006324
ViT-L-14_laion400m_e31,ViT-L-14,CLIP,CLIP,427.6,224,LAION-400m,0.72694,0.7222222222222222,0.9072237250776476,0.72694,0.7222222222222222,0.004717777777777821,0.9935100864200926,0.648991357990731
