model_id,arch_family,training_objective,ImageNet,UrbanCars_WG,CelebA_WG,avg_wg
ViT-B-16_laion2b_s34b_b88k,CLIP,CLIP,70.208,67.2,81.11111111111111,74.15555555555557
RN50x16_openai,ResNet,CLIP,70.154,50.4,73.33333333333333,61.86666666666666
ViT-B-32_datacomp_xl_s13b_b90k,CLIP,CLIP,69.194,72.0,83.33333333333334,77.66666666666667
ViTamin-B_datacomp1b,ViTamin,CLIP,69.084,67.2,70.0,68.6
ViT-B-16-plus-240_laion400m_e32,CLIP,CLIP,69.056,62.4,74.44444444444444,68.42222222222222
ViT-B-16-plus-240_laion400m_e31,CLIP,CLIP,69.056,62.4,74.44444444444444,68.42222222222222
ViT-B-16_metaclip_fullcc,CLIP,CLIP,68.69,72.8,69.44444444444444,71.12222222222222
ViT-B-16-quickgelu_openai,CLIP,CLIP,68.336,48.8,75.0,61.9
ViT-B-32-quickgelu_metaclip_fullcc,CLIP,CLIP,67.62,77.60000000000001,80.55555555555556,79.07777777777778
ViT-B-16_metaclip_400m,CLIP,CLIP,67.102,72.0,64.44444444444444,68.22222222222223
ViT-B-16_laion400m_e32,CLIP,CLIP,67.054,68.8,79.44444444444444,74.12222222222222
ViT-B-16_laion400m_e31,CLIP,CLIP,66.988,72.0,81.11111111111111,76.55555555555556
ViT-B-32_laion2b_s34b_b79k,CLIP,CLIP,66.548,70.39999999999999,80.0,75.19999999999999
convnext_base_laion400m_s13b_b51k,ConvNeXt,CLIP,66.278,69.6,86.1165147947169,77.85825739735844
RN50x4-quickgelu_openai,ResNet,CLIP,66.254,66.4,63.33333333333333,64.86666666666667
ViT-B-32_laion2b_e16,CLIP,CLIP,65.652,61.6,80.55555555555556,71.07777777777778
ViT-B-32-quickgelu_metaclip_400m,CLIP,CLIP,65.578,58.4,70.55555555555556,64.47777777777777
ViT-B-32_metaclip_fullcc,CLIP,CLIP,64.876,60.8,72.22222222222221,66.5111111111111
RN50x4_openai,ResNet,CLIP,64.836,58.4,66.11111111111111,62.25555555555556
ViT-B-16_openai,CLIP,CLIP,64.394,53.6,69.44444444444444,61.522222222222226
coca_ViT-B-32_laion2b_s13b_b90k,CoCa,CoCa,63.586,64.0,68.88888888888889,66.44444444444444
ViTamin-S-LTT_datacomp1b,ViTamin,CLIP,63.376,69.6,83.33333333333334,76.46666666666667
ViT-B-32-quickgelu_openai,CLIP,CLIP,63.348000000000006,18.4,75.0,46.7
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,CoCa,CoCa,63.31,1.6,0.9726630490426901,1.2863315245213451
ViT-B-16_datacomp_l_s1b_b8k,CLIP,CLIP,63.1,48.8,64.44444444444444,56.62222222222222
ViT-B-32-quickgelu_laion400m_e31,CLIP,CLIP,62.962,56.8,85.0,70.9
ViT-B-32-quickgelu_laion400m_e32,CLIP,CLIP,62.942,56.00000000000001,85.0,70.5
xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,CLIP,62.35000000000001,70.39999999999999,81.11111111111111,75.75555555555556
RN101-quickgelu_openai,ResNet,CLIP,62.3,65.60000000000001,80.55555555555556,73.07777777777778
ViTamin-S_datacomp1b,ViTamin,CLIP,62.22,64.8,68.88888888888889,66.84444444444443
PE-Core-T-16-384_meta,PE,CLIP,62.112,63.2,70.0,66.6
roberta-ViT-B-32_laion2b_s12b_b32k,RoBERTa-CLIP,CLIP,61.75000000000001,66.4,77.77777777777779,72.0888888888889
ViT-B-32_metaclip_400m,CLIP,CLIP,61.694,50.4,71.11111111111111,60.75555555555556
RN101_openai,ResNet,CLIP,60.482,64.8,63.888888888888886,64.34444444444443
ViT-B-32_laion400m_e32,CLIP,CLIP,60.232,47.199999999999996,77.77777777777779,62.488888888888894
ViT-B-32_laion400m_e31,CLIP,CLIP,60.228,48.0,80.0,64.0
RN50-quickgelu_openai,ResNet,CLIP,59.81799999999999,35.199999999999996,81.66666666666667,58.43333333333334
ViT-B-32_openai,CLIP,CLIP,59.606,40.8,76.66666666666667,58.733333333333334
RN50_openai,ResNet,CLIP,57.908,64.0,83.88888888888889,73.94444444444444
ViT-B-16_commonpool_l_clip_s1b_b8k,CLIP,CLIP,57.772,74.4,61.111111111111114,67.75555555555556
ViT-B-16_commonpool_l_image_s1b_b8k,CLIP,CLIP,57.206,52.800000000000004,45.0,48.900000000000006
ViT-H-14-worldwide_metaclip2_worldwide,CLIP,CLIP,56.204,44.0,82.77777777777777,63.388888888888886
ViT-B-16_commonpool_l_text_s1b_b8k,CLIP,CLIP,56.07,64.8,48.888888888888886,56.84444444444444
ViT-B-16_commonpool_l_laion_s1b_b8k,CLIP,CLIP,55.25800000000001,57.599999999999994,56.666666666666664,57.133333333333326
ViT-B-16_commonpool_l_basic_s1b_b8k,CLIP,CLIP,51.576,57.599999999999994,62.77777777777778,60.18888888888888
nllb-clip-large-siglip_v1,NLLB-SigLIP,CLIP,48.498,77.60000000000001,71.11111111111111,74.35555555555555
nllb-clip-large-siglip_mrl,NLLB-SigLIP,CLIP,46.548,74.4,72.77777777777777,73.58888888888889
ViT-B-16_commonpool_l_s1b_b8k,CLIP,CLIP,45.888,64.8,41.66666666666667,53.233333333333334
nllb-clip-base-siglip_v1,NLLB-SigLIP,CLIP,37.526,74.4,76.66666666666667,75.53333333333333
nllb-clip-base-siglip_mrl,NLLB-SigLIP,CLIP,37.062,20.8,66.66666666666666,43.73333333333333
nllb-clip-large_v1,NNLB-CLIP,CLIP,36.714,73.6,21.66666666666666,47.633333333333326
RN50-quickgelu_cc12m,ResNet,CLIP,36.448,31.2,26.111111111111114,28.65555555555556
RN50_cc12m,ResNet,CLIP,35.898,20.0,27.77777777777778,23.88888888888889
RN101-quickgelu_yfcc15m,ResNet,CLIP,34.868,48.0,45.55555555555555,46.77777777777777
RN101_yfcc15m,ResNet,CLIP,34.054,53.6,40.0,46.8
RN50-quickgelu_yfcc15m,ResNet,CLIP,32.768,48.8,29.517763898843043,39.15888194942152
RN50_yfcc15m,ResNet,CLIP,32.356,39.2,51.31565475581038,45.25782737790519
ViT-B-32_datacomp_m_s128m_b4k,CLIP,CLIP,29.708000000000002,43.2,48.33333333333333,45.766666666666666
ViT-B-32_commonpool_m_clip_s128m_b4k,CLIP,CLIP,27.198,44.0,45.0,44.5
ViT-B-32_commonpool_m_image_s128m_b4k,CLIP,CLIP,26.780000000000005,38.4,22.22222222222222,30.31111111111111
ViT-B-32_commonpool_m_text_s128m_b4k,CLIP,CLIP,25.503999999999998,45.6,68.50619432783864,57.05309716391932
nllb-clip-base_v1,NNLB-CLIP,CLIP,24.306,12.8,66.11111111111111,39.455555555555556
ViT-B-32_commonpool_m_laion_s128m_b4k,CLIP,CLIP,23.036,36.0,42.22222222222222,39.111111111111114
ViT-B-32_commonpool_m_basic_s128m_b4k,CLIP,CLIP,22.566,40.0,20.55555555555555,30.277777777777775
ViT-B-32_commonpool_m_s128m_b4k,CLIP,CLIP,17.564,40.0,45.20323538445787,42.601617692228935
ViT-B-32_commonpool_s_clip_s13m_b4k,CLIP,CLIP,5.048,23.200000000000003,66.11111111111111,44.65555555555556
ViT-B-32_commonpool_s_text_s13m_b4k,CLIP,CLIP,4.602,15.2,49.44444444444444,32.32222222222222
ViT-B-32_datacomp_s_s13m_b4k,CLIP,CLIP,3.91,15.2,32.7019555646565,23.950977782328252
ViT-B-32_commonpool_s_image_s13m_b4k,CLIP,CLIP,3.91,15.2,32.7019555646565,23.950977782328252
ViT-B-32_commonpool_s_basic_s13m_b4k,CLIP,CLIP,3.766,17.599999999999998,40.13514897102488,28.867574485512442
ViT-B-32_commonpool_s_laion_s13m_b4k,CLIP,CLIP,3.048,19.2,44.79369304801884,31.99684652400942
ViT-B-32_commonpool_s_s13m_b4k,CLIP,CLIP,2.694,36.8,33.44937032865772,35.12468516432886
