model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,accuracy_gap,imagenet_acc,wg_acc,robustness_gap,robustness_ratio
ViT-L-14-CLIPA-336_datacomp1b,ViT-L-14-CLIPA-336,CLIPA,CLIPA,414.5,336,DataComp-1b,0.8027599999999999,0.584,0.835,0.251,0.8027599999999999,0.584,0.21875999999999995,0.727490158951617
ViT-bigG-14_laion2b_s39b_b160k,ViT-bigG-14,CLIP,CLIP,2539.6,224,LAION-2b,0.80092,0.784,0.835,0.050999999999999934,0.80092,0.784,0.016919999999999935,0.9788742945612546
ViT-bigG-14-worldwide_metaclip2_worldwide,ViT-bigG-14-worldwide,CLIP,CLIP,3630.4,224,MetaCLIP2-2.5b,0.7990999999999999,0.52,0.805,0.28500000000000003,0.7990999999999999,0.52,0.2790999999999999,0.6507320735827807
EVA02-L-14_merged2b_s4b_b131k,EVA02-L-14,EVA,EVA,427.8,224,Merged-2b,0.7976399999999999,0.544,0.802,0.258,0.7976399999999999,0.544,0.25363999999999987,0.6820119352088663
ViT-L-14-CLIPA_datacomp1b,ViT-L-14-CLIPA,CLIPA,CLIPA,414.2,224,DataComp-1b,0.7960200000000001,0.528,0.81,0.28200000000000003,0.7960200000000001,0.528,0.26802000000000004,0.6632999170875103
convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,convnext_xxlarge,CLIP,ConvNeXt,1200.6,256,LAION-2b,0.79428,0.496,0.783,0.28700000000000003,0.79428,0.496,0.29828,0.6244649242080879
MobileCLIP2-B_dfndr2b,MobileCLIP2-B,CLIP,MobileCLIP2,149.8,224,DFNDR-2b,0.7935800000000001,0.808,0.87,0.061999999999999944,0.7935800000000001,0.808,-0.014419999999999988,1.0181708208372187
EVA01-g-14-plus_merged2b_s11b_b114k,EVA01-g-14-plus,EVA,EVA,1366.6,224,Merged-2b,0.79318,0.464,0.747,0.283,0.79318,0.464,0.32918,0.5849870142968809
ViT-B-16-SigLIP2-256_webli,ViT-B-16-SigLIP2-256,SigLIP2,SigLIP2,375.2,256,WebLI-10b,0.79304,0.824,0.887,0.06300000000000006,0.79304,0.824,-0.030959999999999988,1.0390396449107233
convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,convnext_xxlarge,CLIP,ConvNeXt,1200.6,256,LAION-2b,0.7929600000000001,0.408,0.765,0.35700000000000004,0.7929600000000001,0.408,0.38496000000000014,0.5145278450363195
ViT-L-14_datacomp_xl_s13b_b90k,ViT-L-14,CLIP,CLIP,427.6,224,DataComp-1b,0.79208,0.648,0.829,0.18099999999999994,0.79208,0.648,0.14407999999999999,0.8180991819008181
ViT-L-14-quickgelu_metaclip_fullcc,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,CommonCrawl-2.5b,0.79192,0.44,0.808,0.36800000000000005,0.79192,0.44,0.35191999999999996,0.5556116779472674
ViT-B-16-SigLIP-512_webli,ViT-B-16-SigLIP-512,SigLIP,SigLIP,203.8,512,WebLI-10b,0.7912,0.656,0.86,0.20399999999999996,0.7912,0.656,0.1352,0.8291203235591507
ViT-H-14-CLIPA-336_laion2b,ViT-H-14-CLIPA-336,CLIPA,CLIPA,968.6,336,LAION-2b,0.7911199999999999,0.704,0.883,0.17900000000000005,0.7911199999999999,0.704,0.08711999999999998,0.8898776418242492
convnext_xxlarge_laion2b_s34b_b82k_augreg,convnext_xxlarge,CLIP,ConvNeXt,1200.6,256,LAION-2b,0.79038,0.632,0.827,0.19499999999999995,0.79038,0.632,0.15837999999999997,0.7996153748829677
EVA01-g-14_laion400m_s11b_b41k,EVA01-g-14,EVA,EVA,1136.4,224,LAION-400m,0.785,0.712,0.83,0.118,0.785,0.712,0.07300000000000006,0.9070063694267515
ViT-H-14_metaclip_fullcc,ViT-H-14,CLIP,CLIP,986.1,224,CommonCrawl-2.5b,0.7849200000000001,0.328,0.717,0.38899999999999996,0.7849200000000001,0.328,0.45692000000000005,0.4178769810936146
ViT-B-16-SigLIP-384_webli,ViT-B-16-SigLIP-384,SigLIP,SigLIP,203.4,384,WebLI-10b,0.78484,0.672,0.84,0.16799999999999993,0.78484,0.672,0.11283999999999994,0.8562254727078131
ViT-B-16-SigLIP2_webli,ViT-B-16-SigLIP2,SigLIP2,SigLIP2,375.2,224,WebLI-10b,0.78476,0.832,0.894,0.062000000000000055,0.78476,0.832,-0.04723999999999995,1.0601967480503593
ViT-g-14_laion2b_s34b_b88k,ViT-g-14,CLIP,CLIP,1366.7,224,LAION-2b,0.78452,0.64,0.824,0.18399999999999994,0.78452,0.64,0.14451999999999998,0.8157854484270637
PE-Core-B-16_meta,PE-Core-B-16,CLIP,PE,447.7,224,MetaCLIP-5.4b,0.78358,0.768,0.84,0.07199999999999995,0.78358,0.768,0.015580000000000038,0.9801168993593506
ViT-H-14_laion2b_s32b_b79k,ViT-H-14,CLIP,CLIP,986.1,224,LAION-2b,0.77928,0.488,0.786,0.29800000000000004,0.77928,0.488,0.29128,0.6262190740170414
MobileCLIP2-S2_dfndr2b,MobileCLIP2-S2,CLIP,MobileCLIP2,99.2,256,DFNDR-2b,0.77252,0.744,0.883,0.139,0.77252,0.744,0.02851999999999999,0.9630818619582665
MobileCLIP-B_datacompdr_lt,MobileCLIP-B,CLIP,MobileCLIP,149.8,224,DataComp-1b,0.7719,0.528,0.778,0.25,0.7719,0.528,0.2439,0.6840264282938204
xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,xlm-roberta-large-ViT-H-14,CLIP,XLM-RoBERTa-CLIP,1193.0,224,LAION-5b,0.7696200000000001,0.792,0.891,0.09899999999999998,0.7696200000000001,0.792,-0.022379999999999955,1.029079285881344
convnext_large_d_320_laion2b_s29b_b131k_ft_soup,convnext_large_d_320,CLIP,ConvNeXt,351.8,320,LAION-2b,0.76846,0.616,0.831,0.21499999999999997,0.76846,0.616,0.15246000000000004,0.8016032064128256
MobileCLIP-B_datacompdr,MobileCLIP-B,CLIP,MobileCLIP,149.8,224,DataComp-1b,0.76834,0.672,0.826,0.15399999999999991,0.76834,0.672,0.09633999999999998,0.8746128016242809
ViT-L-14_metaclip_fullcc,ViT-L-14,CLIP,CLIP,427.6,224,CommonCrawl-2.5b,0.76658,0.52,0.814,0.29399999999999993,0.76658,0.52,0.24658000000000002,0.6783375512014401
ViT-g-14_laion2b_s12b_b42k,ViT-g-14,CLIP,CLIP,1366.7,224,LAION-2b,0.76628,0.76,0.855,0.09499999999999997,0.76628,0.76,0.006279999999999952,0.9918045623009867
convnext_large_d_320_laion2b_s29b_b131k_ft,convnext_large_d_320,CLIP,ConvNeXt,351.8,320,LAION-2b,0.76594,0.6,0.818,0.21799999999999997,0.76594,0.6,0.16593999999999998,0.7833511763323499
ViT-B-16-SigLIP-256_webli,ViT-B-16-SigLIP-256,SigLIP,SigLIP,203.2,256,WebLI-10b,0.76556,0.552,0.814,0.2619999999999999,0.76556,0.552,0.21355999999999997,0.7210408067297143
ViT-L-14-336-quickgelu_openai,ViT-L-14-336-quickgelu,CLIP,CLIP,427.9,336,OpenAI-400m,0.76546,0.336,0.755,0.419,0.76546,0.336,0.42946,0.4389517414365218
ViT-L-14_commonpool_xl_clip_s13b_b90k,ViT-L-14,CLIP,CLIP,427.6,224,CommonPool-12.8b,0.7639199999999999,0.608,0.815,0.20699999999999996,0.7639199999999999,0.608,0.15591999999999995,0.7958948581003247
ViT-B-16_dfn2b,ViT-B-16,CLIP,CLIP,149.6,224,DFNDR-2b,0.76262,0.704,0.822,0.118,0.76262,0.704,0.058620000000000005,0.9231334085127586
ViT-L-14-quickgelu_metaclip_400m,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,MetaCLIP-400m,0.7624200000000001,0.104,0.609,0.505,0.7624200000000001,0.104,0.6584200000000001,0.13640775425618423
ViT-B-16-SigLIP_webli,ViT-B-16-SigLIP,SigLIP,SigLIP,203.2,224,WebLI-10b,0.76042,0.624,0.83,0.20599999999999996,0.76042,0.624,0.13641999999999999,0.820599142579101
convnext_large_d_laion2b_s26b_b102k_augreg,convnext_large_d,CLIP,ConvNeXt,351.8,256,LAION-2b,0.7589400000000001,0.648,0.821,0.17299999999999993,0.7589400000000001,0.648,0.11094000000000004,0.8538224365562495
coca_ViT-L-14_laion2b_s13b_b90k,coca_ViT-L-14,CoCa,CoCa,638.5,224,LAION-2b,0.75646,0.648,0.83,0.18199999999999994,0.75646,0.648,0.10846,0.8566216323401106
ViT-L-14-quickgelu_openai,ViT-L-14-quickgelu,CLIP,CLIP,427.6,224,OpenAI-400m,0.75534,0.368,0.743,0.375,0.75534,0.368,0.38734,0.487197818201075
ViT-L-14_commonpool_xl_laion_s13b_b90k,ViT-L-14,CLIP,CLIP,427.6,224,CommonPool-12.8b,0.7546599999999999,0.536,0.797,0.261,0.7546599999999999,0.536,0.21865999999999985,0.7102536241486234
ViT-B-16-quickgelu_dfn2b,ViT-B-16-quickgelu,CLIP,CLIP,149.6,224,DFN-2b,0.7545000000000001,0.656,0.82,0.16399999999999992,0.7545000000000001,0.656,0.09850000000000003,0.8694499668654738
ViT-L-14_laion2b_s32b_b82k,ViT-L-14,CLIP,CLIP,427.6,224,LAION-2b,0.7524599999999999,0.728,0.835,0.10699999999999998,0.7524599999999999,0.728,0.024459999999999926,0.967493288679797
ViT-B-16-SigLIP-i18n-256_webli,ViT-B-16-SigLIP-i18n-256,SigLIP,SigLIP,370.6,256,WebLI-10b,0.75116,0.68,0.836,0.15599999999999992,0.75116,0.68,0.07116,0.9052665211140103
EVA02-B-16_merged2b_s8b_b131k,EVA02-B-16,EVA,EVA,149.7,224,Merged-2b,0.7473000000000001,0.656,0.788,0.132,0.7473000000000001,0.656,0.09130000000000005,0.8778268433025558
MobileCLIP-S2_datacompdr,MobileCLIP-S2,CLIP,MobileCLIP,99.2,256,DataComp-1b,0.74432,0.72,0.827,0.10699999999999998,0.74432,0.72,0.02432000000000001,0.9673258813413586
PE-Core-bigG-14-448_meta,PE-Core-bigG-14-448,CLIP,PE,2419.3,448,MetaCLIP-5.4b,0.7424200000000001,0.72,0.879,0.15900000000000003,0.7424200000000001,0.72,0.022420000000000107,0.9698014600899759
ViT-L-14-336_openai,ViT-L-14-336,CLIP,CLIP,427.9,336,OpenAI-400m,0.73996,0.544,0.769,0.22499999999999998,0.73996,0.544,0.1959599999999999,0.7351748743175308
RN50x64-quickgelu_openai,RN50x64-quickgelu,CLIP,ResNet,623.3,448,OpenAI-400m,0.73914,0.616,0.821,0.20499999999999996,0.73914,0.616,0.12314000000000003,0.8334009795167356
ViT-B-32-SigLIP2-256_webli,ViT-B-32-SigLIP2-256,SigLIP2,SigLIP2,376.9,256,WebLI-10b,0.7384999999999999,0.792,0.867,0.07499999999999996,0.7384999999999999,0.792,-0.0535000000000001,1.0724441435341912
ViT-B-16_datacomp_xl_s13b_b90k,ViT-B-16,CLIP,CLIP,149.6,224,DataComp-1b,0.73482,0.736,0.825,0.08899999999999997,0.73482,0.736,-0.0011799999999999589,1.0016058354426933
RN50x64_openai,RN50x64,CLIP,ResNet,623.3,448,OpenAI-400m,0.73226,0.592,0.814,0.22199999999999998,0.73226,0.592,0.14026000000000005,0.8084560128915959
ViT-L-14_metaclip_400m,ViT-L-14,CLIP,CLIP,427.6,224,MetaCLIP-400m,0.7319,0.232,0.644,0.41200000000000003,0.7319,0.232,0.4999,0.31698319442546796
