method,seed,epoch,threshold,worst_group_acc,avg_acc
jtt,2,1,25,0.1904761904761904,0.6934043320062495
jtt,2,1,30,0.2929292929292929,0.7113262934903753
jtt,2,1,35,0.3333333333333333,0.7162067353506013
jtt,2,1,40,0.391304347826087,0.7201462235429628
jtt,2,1,45,0.5238095238095238,0.7392013079513079
lff,0,40,0,0.0,0.7338898560367776
lff,0,40,5,0.0,0.7325098951227702
lff,0,40,10,0.0,0.7385225399270666
lff,0,40,15,0.12,0.7330959191750365
lff,0,40,20,0.12,0.724390944627807
lff,0,40,25,0.12,0.7211084113477424
lff,0,40,30,0.12,0.7342208654982277
lff,0,40,35,0.12,0.7162202916217391
lff,0,40,40,0.4646464646464646,0.7554260896108722
lff,0,40,45,0.4646464646464646,0.8108807858807859
lff,1,40,0,0.0,0.7426652839622848
lff,1,40,5,0.0,0.7377220805170666
lff,1,40,10,0.1333333333333333,0.7514935980336853
lff,1,40,15,0.1466666666666666,0.7410853681592587
lff,1,40,20,0.1466666666666666,0.730634534223086
lff,1,40,25,0.1466666666666666,0.7212320598068873
lff,1,40,30,0.1466666666666666,0.7381828365911817
lff,1,40,35,0.1466666666666666,0.7253989322562997
lff,1,40,40,0.4545454545454545,0.7619169497973844
lff,1,40,45,0.4545454545454545,0.8372937247937248
lff,2,40,0,0.0,0.7290471663049032
lff,2,40,5,0.0,0.7273591390830337
lff,2,40,10,0.0,0.7428132301088697
lff,2,40,15,0.1733333333333333,0.7266026465866051
lff,2,40,20,0.1733333333333333,0.7170820272818431
lff,2,40,25,0.1733333333333333,0.721565009083564
lff,2,40,30,0.1733333333333333,0.7403799158496723
lff,2,40,35,0.1733333333333333,0.7219080651354115
lff,2,40,40,0.4141414141414141,0.7613008308117004
lff,2,40,45,0.4141414141414141,0.804481166981167
sd,0,40,0,0.0,0.7527313393833392
sd,0,40,5,0.0,0.7472598014593188
sd,0,40,10,0.2,0.7587685077489007
sd,0,40,15,0.2,0.7531406464832576
sd,0,40,20,0.2857142857142857,0.7488474163153642
sd,0,40,25,0.2857142857142857,0.7371549797984175
