model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,avg_accuracy,overall_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,acc_blonde_female,acc_blonde_male,acc_non-blonde_female,acc_non-blonde_male,vit_size
EVA02-B-16,merged2b_s8b_b131k,EVA02-B-16_merged2b_s8b_b131k,EVA,,,16.0,224,Merged-2b,False,,149.7,0.9048191563971546,0.9048191563971546,0.7722222222222223,blonde_male,0.9234240212342402,non-blonde_male,0.1325969341749323,19962,6.3,37.6,0.907258064516129,0.7722222222222223,0.8922903655165353,0.9234240212342402,
ViT-SO400M-14-SigLIP-384,webli,ViT-SO400M-14-SigLIP-384_webli,SigLIP,,,14.0,384,WebLI-10b,False,,878.0,0.9048191563971546,0.9048191563971546,0.8924951366847548,non-blonde_female,0.9278225806451612,blonde_female,0.0123240197123998,19962,8.6,182.4,0.9278225806451612,0.9055555555555556,0.8924951366847548,0.9132050431320504,
ViT-L-14,datacomp_xl_s13b_b90k,ViT-L-14_datacomp_xl_s13b_b90k,CLIP,,,14.0,224,DataComp-1b,False,768.0,427.6,0.904769061216311,0.904769061216311,0.8055555555555556,blonde_male,0.9145321831453218,non-blonde_male,0.0992135056607553,19962,20.4,62.1,0.8641129032258065,0.8055555555555556,0.9093887580628648,0.9145321831453218,L
ViT-B-32-quickgelu,metaclip_fullcc,ViT-B-32-quickgelu_metaclip_fullcc,CLIP,,,32.0,224,CommonCrawl-2.5b,True,512.0,151.3,0.9042681094078748,0.9042681094078748,0.8055555555555556,blonde_male,0.924220305242203,non-blonde_male,0.0987125538523193,19962,9.0,29.6,0.9064516129032258,0.8055555555555556,0.8901402682502304,0.924220305242203,B
ViT-B-16-SigLIP2-384,webli,ViT-B-16-SigLIP2-384_webli,SigLIP2,,,16.0,384,WebLI-10b,False,,375.5,0.9042180142270314,0.9042180142270314,0.8666666666666667,blonde_male,0.932258064516129,blonde_female,0.0375513475603647,19962,21.4,73.7,0.932258064516129,0.8666666666666667,0.8907545817548889,0.9133377571333776,B
ViT-B-32,laion400m_e32,ViT-B-32_laion400m_e32,CLIP,,,32.0,224,LAION-400m,False,512.0,151.3,0.9041679190461878,0.9041679190461878,0.7777777777777778,blonde_male,0.9120967741935484,blonde_female,0.1263901412684099,19962,1.4,28.8,0.9120967741935484,0.7777777777777778,0.8998668987406573,0.9101526211015262,B
ViT-B-16-SigLIP2-256,webli,ViT-B-16-SigLIP2-256_webli,SigLIP2,,,16.0,256,WebLI-10b,False,,375.2,0.9038172527802826,0.9038172527802826,0.8666666666666667,blonde_male,0.9294354838709676,blonde_female,0.0371505861136158,19962,21.4,38.8,0.9294354838709676,0.8666666666666667,0.8917784375959865,0.911877903118779,B
ViT-SO400M-14-SigLIP-378,webli,ViT-SO400M-14-SigLIP-378_webli,SigLIP,,,14.0,378,WebLI-10b,False,,878.0,0.9037671575994388,0.9037671575994388,0.8833333333333333,blonde_male,0.9294354838709676,blonde_female,0.0204338242661056,19962,43.0,179.6,0.9294354838709676,0.8833333333333333,0.8903450394184499,0.9132050431320504,
ViT-B-16-quickgelu,metaclip_fullcc,ViT-B-16-quickgelu_metaclip_fullcc,CLIP,,,16.0,224,CommonCrawl-2.5b,True,512.0,149.6,0.903616872056908,0.903616872056908,0.6944444444444444,blonde_male,0.9311214333112144,non-blonde_male,0.2091724276124636,19962,8.8,35.7,0.9028225806451612,0.6944444444444444,0.8864543872222791,0.9311214333112144,B
convnext_base_w_320,laion_aesthetic_s13b_b82k,convnext_base_w_320_laion_aesthetic_s13b_b82k,ConvNeXt,,,,320,LAION-A-900m,False,,179.4,0.9034164913335336,0.9034164913335336,0.8,blonde_male,0.9294354838709676,blonde_female,0.1034164913335337,19962,10.0,60.3,0.9294354838709676,0.8,0.8861472304699498,0.9197080291970804,
ViT-B-32,laion400m_e31,ViT-B-32_laion400m_e31,CLIP,,,32.0,224,LAION-400m,False,512.0,151.3,0.9032161106101592,0.9032161106101592,0.8,blonde_male,0.9108870967741935,blonde_female,0.1032161106101592,19962,1.5,28.8,0.9108870967741935,0.8,0.9007883689976453,0.9063039150630392,B
